user_id;language;gender;age;study;country;species;beau;impr;enda;cute;dang;rare
5;F;F;3;5;FR;Lion;1;1;1;0;1;0
5;F;F;3;5;FR;Giraffe;0;0;1;0;0;0
5;F;F;3;5;FR;Rhino;1;1;1;0;0;0
5;F;F;3;5;FR;Leopard;0;1;1;0;0;0
6;F;F;2;2;FR;Panda Bear;1;0;0;0;0;0
6;F;F;2;2;FR;Elephant;0;1;0;0;1;0
6;F;F;2;2;FR;Polar Bear;1;0;1;0;0;0
6;F;F;2;2;FR;Wolf;0;0;1;0;0;0
7;F;F;2;3;FR;Wolf;1;0;0;0;0;0
7;F;F;2;3;FR;Tiger;1;1;0;0;0;0
8;F;F;2;3;FR;Leopard;1;0;1;0;1;1
8;F;F;2;3;FR;Cheetah;1;0;1;0;1;1
8;F;F;2;3;FR;Panda Bear;1;1;1;1;0;0
8;F;F;2;3;FR;Tiger;0;1;0;0;0;0
8;F;F;2;3;FR;Lion;0;1;0;0;0;0
8;F;F;2;3;FR;Giraffe;0;0;0;1;0;0
9;F;F;2;2;FR;Leopard;1;1;0;0;1;0
9;F;F;2;2;FR;Lion;1;1;0;0;1;0
9;F;F;2;2;FR;Leopard;1;1;0;0;1;0
9;F;F;2;2;FR;Cheetah;1;1;0;0;1;0
9;F;F;2;2;FR;Panda Bear;0;0;1;1;0;0
9;F;F;2;2;FR;Koala;0;0;0;1;0;0
10;F;F;2;2;FR;Wolf;1;1;1;1;1;1
10;F;F;2;2;FR;Lion;1;1;1;1;1;0
10;F;F;2;2;FR;Leopard;1;1;0;0;1;1
11;F;F;2;2;FR;Lion;1;1;0;0;1;0
11;F;F;2;2;FR;Leopard;1;0;0;0;1;1
11;F;F;2;2;FR;Cheetah;1;0;1;0;1;1
11;F;F;2;2;FR;Tiger;1;1;1;0;1;1
12;F;F;3;5;FR;Elephant;0;1;0;0;0;0
12;F;F;3;5;FR;Lion;0;0;1;0;0;0
12;F;F;3;5;FR;Giraffe;1;0;0;0;0;0
13;F;F;2;2;FR;Tiger;1;1;1;0;1;1
13;F;F;2;2;FR;Dolphin;1;0;1;0;0;0
13;F;F;2;2;FR;Lion;1;1;0;0;1;0
13;F;F;2;2;FR;Elephant;1;1;1;0;0;0
13;F;F;2;2;FR;Koala;1;0;1;1;0;0
14;S;M;2;3;FR;Panda Bear;0;0;1;1;0;1
14;S;M;2;3;FR;Great White Shark;0;1;1;0;1;0
14;S;M;2;3;FR;Dolphin;1;0;0;1;0;0
14;S;M;2;3;FR;Tiger;0;1;1;0;1;1
14;S;M;2;3;FR;Lion;0;1;1;0;1;0
14;S;M;2;3;FR;Elephant;1;1;1;0;1;0
14;S;M;2;3;FR;Giraffe;1;0;0;1;0;0
14;S;M;2;3;FR;Polar Bear;1;1;1;0;1;1
14;S;M;2;3;FR;Chimpanzee;0;0;0;0;0;0
15;S;F;2;3;FR;Elephant;0;0;1;0;0;0
15;S;F;2;3;FR;Lion;0;1;0;0;0;0
16;F;M;2;2;FR;Tiger;1;1;1;0;1;1
18;F;F;2;2;FR;Polar Bear;1;1;1;0;0;1
18;F;F;2;2;FR;Lion;1;1;0;0;1;1
18;F;F;2;2;FR;Tiger;1;1;0;0;1;1
18;F;F;2;2;FR;Great White Shark;1;1;0;0;1;0
19;F;M;3;4;FR;Crocodile;1;1;0;0;0;0
19;F;M;3;4;FR;Tiger;1;1;1;1;0;1
19;F;M;3;4;FR;Gorilla;1;1;1;0;0;1
19;F;M;3;4;FR;Wolf;1;1;1;1;0;1
21;F;F;2;3;FR;Wolf;0;1;0;0;0;0
22;F;M;2;3;FR;Polar Bear;0;1;1;0;0;0
22;F;M;2;3;FR;Wolf;0;0;0;0;1;1
22;F;M;2;3;FR;Koala;0;0;0;0;1;1
22;F;M;2;3;FR;Dolphin;0;0;0;1;0;0
23;F;F;3;5;FR;Tiger;1;1;1;0;0;1
23;F;F;3;5;FR;Polar Bear;1;1;1;0;0;1
23;F;F;3;5;FR;Giraffe;1;1;0;0;0;0
23;F;F;3;5;FR;Rhino;1;1;1;0;0;1
23;F;F;3;5;FR;Elephant;1;1;0;0;0;0
23;F;F;3;5;FR;Panda Bear;1;1;1;0;0;1
24;E;M;2;4;GB;Panda Bear;0;0;1;1;0;0
24;E;M;2;4;GB;Lion;0;1;0;0;0;0
24;E;M;2;4;GB;Chimpanzee;0;0;0;1;0;0
24;E;M;2;4;GB;Elephant;0;1;1;0;1;0
28;E;F;2;2;ie;Cheetah;1;1;0;0;1;0
28;E;F;2;2;ie;Wolf;1;1;0;0;1;0
28;E;F;2;2;ie;Elephant;0;1;1;0;0;0
28;E;F;2;2;ie;Dolphin;1;1;0;1;0;0
30;F;F;2;3;GB;Wolf;1;1;0;0;0;0
30;F;F;2;3;GB;Tiger;1;0;1;0;1;0
30;F;F;2;3;GB;Cheetah;1;0;1;0;1;0
30;F;F;2;3;GB;Leopard;1;0;1;0;1;0
30;F;F;2;3;GB;Koala;0;0;0;1;0;0
30;F;F;2;3;GB;Polar Bear;1;1;1;1;1;0
30;F;F;2;3;GB;Hippo;1;0;0;1;0;0
31;F;F;2;1;FR;Cheetah;1;0;0;0;1;0
33;F;F;2;2;FR;Panda Bear;1;0;1;1;0;1
33;F;F;2;2;FR;Wolf;0;0;0;0;0;0
35;F;M;2;3;FR;Leopard;1;1;1;0;0;0
35;F;M;2;3;FR;Koala;0;0;1;1;0;0
35;F;M;2;3;FR;Tiger;0;1;1;0;0;1
35;F;M;2;3;FR;Crocodile;0;0;0;0;1;0
35;F;M;2;3;FR;Dolphin;1;1;1;0;0;0
35;F;M;2;3;FR;Lion;0;1;0;0;0;0
35;F;M;2;3;FR;Zebra;1;0;0;0;0;0
35;F;M;2;3;FR;Panda Bear;1;0;1;0;0;1
36;F;F;2;2;FR;Cheetah;1;1;1;1;1;1
36;F;F;2;2;FR;Leopard;1;0;1;1;1;1
36;F;F;2;2;FR;Panda Bear;1;0;1;1;0;1
36;F;F;2;2;FR;Elephant;0;1;1;0;0;1
36;F;F;2;2;FR;Giraffe;0;1;0;0;0;0
36;F;F;2;2;FR;Rhino;0;1;1;0;1;0
37;F;F;2;3;FR;Dolphin;1;1;1;1;0;1
37;F;F;2;3;FR;Tiger;1;1;1;0;1;1
37;F;F;2;3;FR;Panda Bear;1;1;1;1;1;1
37;F;F;2;3;FR;Wolf;1;1;1;0;1;1
37;F;F;2;3;FR;Leopard;1;1;1;0;1;1
37;F;F;2;3;FR;Cheetah;1;1;1;0;1;1
37;F;F;2;3;FR;Polar Bear;1;1;1;1;1;1
38;F;F;2;3;FR;Dolphin;1;1;1;0;0;1
38;F;F;2;3;FR;Panda Bear;0;0;1;1;0;1
38;F;F;2;3;FR;Koala;0;1;1;1;0;1
38;F;F;2;3;FR;Elephant;1;1;1;0;1;1
38;F;F;2;3;FR;Giraffe;1;1;1;1;1;1
39;F;F;3;4;FR;Tiger;0;0;1;0;0;1
39;F;F;3;4;FR;Elephant;0;1;1;0;1;0
39;F;F;3;4;FR;Zebra;1;0;0;1;0;0
39;F;F;3;4;FR;Lion;0;1;0;0;1;0
39;F;F;3;4;FR;Rhino;0;1;1;0;1;0
39;F;F;3;4;FR;Cheetah;1;0;0;0;0;0
40;F;F;2;2;FR;Giraffe;1;1;0;1;0;0
40;F;F;2;2;FR;Panda Bear;1;0;1;1;0;1
40;F;F;2;2;FR;Zebra;1;0;0;1;0;0
40;F;F;2;2;FR;Hippo;0;1;0;0;0;0
40;F;F;2;2;FR;Elephant;0;1;0;0;0;0
40;F;F;2;2;FR;Wolf;1;0;0;0;0;0
41;F;F;3;4;FR;Wolf;1;1;1;0;0;0
42;F;F;2;5;FR;Lion;0;1;0;0;0;0
42;F;F;2;5;FR;Tiger;0;1;0;0;0;0
42;F;F;2;5;FR;Elephant;0;1;0;0;0;0
42;F;F;2;5;FR;Dolphin;1;0;0;0;0;0
42;F;F;2;5;FR;Giraffe;1;0;0;0;0;0
42;F;F;2;5;FR;Zebra;1;0;0;0;0;0
44;F;M;2;2;FR;Lion;1;0;0;0;0;0
44;F;M;2;2;FR;Tiger;1;0;0;0;0;0
44;F;M;2;2;FR;Wolf;1;0;0;0;0;0
44;F;M;2;2;FR;Panda Bear;0;0;1;0;0;0
45;F;F;2;2;FR;Tiger;1;0;1;0;0;1
45;F;F;2;2;FR;Panda Bear;0;0;1;1;0;0
45;F;F;2;2;FR;Wolf;1;0;1;0;0;1
45;F;F;2;2;FR;Panda Bear;0;0;1;1;0;1
45;F;F;2;2;FR;Lion;0;1;0;0;1;0
45;F;F;2;2;FR;Leopard;1;0;1;0;0;1
45;F;F;2;2;FR;Giraffe;1;1;0;0;0;0
46;F;F;3;3;FR;Polar Bear;1;1;1;0;0;1
46;F;F;3;3;FR;Leopard;1;1;0;1;0;0
47;F;F;2;1;FR;Leopard;1;0;0;0;0;0
47;F;F;2;1;FR;Elephant;0;1;0;0;0;0
47;F;F;2;1;FR;Lion;1;0;0;0;1;0
47;F;F;2;1;FR;Zebra;0;0;0;1;0;0
47;F;F;2;1;FR;Crocodile;0;1;1;0;1;0
48;F;F;2;3;FR;Lion;0;1;0;0;0;0
48;F;F;2;3;FR;Rhino;1;0;0;0;0;0
48;F;F;2;3;FR;Giraffe;0;1;0;1;0;0
48;F;F;2;3;FR;Polar Bear;1;1;1;0;0;0
48;F;F;2;3;FR;Elephant;1;1;0;0;0;0
48;F;F;2;3;FR;Panda Bear;0;0;1;1;0;0
48;F;F;2;3;FR;Dolphin;1;1;0;0;0;0
